Bidding Exercise,Announcement Date,Year,Category,Quota,Quota Premium,Total Bids Received,Number of Successful Bids,,,,,,,,,,,
September 2007 Second Open Bidding Exercise,15/09/2007,2007,Cat A (Cars up to 1600cc and 97kW),"2,159","$17,941","3,055","2,159",,,,,,,,,,,
September 2007 Second Open Bidding Exercise,15/09/2007,2007,Cat B (Cars above 1600cc or 97kW),"1,125","$19,589","1,581","1,117",,,,,,,,,,,
September 2007 Second Open Bidding Exercise,15/09/2007,2007,Cat C (Goods vehicles and buses),453,"$10,501",590,453,,,,,,,,,,,
September 2007 Second Open Bidding Exercise,15/09/2007,2007,Cat D (Motorcycles),480,"$1,054",772,479,,,,,,,,,,,
September 2007 Second Open Bidding Exercise,15/09/2007,2007,Cat E (Open),"1,116","$19,199","1,789","1,115",,,,,,,,,,,
October 2007 First Open Bidding Exercise,01/10/2007,2007,Cat A (Cars up to 1600cc and 97kW),"2,165","$16,999","2,604","2,160",,,,,,,,,,,
October 2007 First Open Bidding Exercise,01/10/2007,2007,Cat B (Cars above 1600cc or 97kW),"1,125","$17,102","1,409","1,125",,,,,,,,,,,
October 2007 First Open Bidding Exercise,01/10/2007,2007,Cat C (Goods vehicles and buses),354,"$13,989",496,347,,,,,,,,,,,
October 2007 First Open Bidding Exercise,01/10/2007,2007,Cat D (Motorcycles),443,"$1,101",594,434,,,,,,,,,,,
October 2007 First Open Bidding Exercise,01/10/2007,2007,Cat E (Open),"1,087","$18,000","1,527","1,062",,,,,,,,,,,
October 2007 Second Open Bidding Exercise,15/10/2007,2007,Cat A (Cars up to 1600cc and 97kW),"2,158","$12,401","2,472","2,158",,,,,,,,,,,
October 2007 Second Open Bidding Exercise,15/10/2007,2007,Cat B (Cars above 1600cc or 97kW),"1,133","$17,589","1,370","1,132",,,,,,,,,,,
October 2007 Second Open Bidding Exercise,15/10/2007,2007,Cat C (Goods vehicles and buses),344,"$15,889",428,339,,,,,,,,,,,
October 2007 Second Open Bidding Exercise,15/10/2007,2007,Cat D (Motorcycles),440,"$1,050",593,437,,,,,,,,,,,
October 2007 Second Open Bidding Exercise,15/10/2007,2007,Cat E (Open),"1,088","$18,000","1,586","1,028",,,,,,,,,,,
November 2007 First Open Bidding Exercise,01/11/2007,2007,Cat A (Cars up to 1600cc and 97kW),"2,164","$16,839","3,040","2,149",,,,,,,,,,,
November 2007 First Open Bidding Exercise,01/11/2007,2007,Cat B (Cars above 1600cc or 97kW),"1,125","$18,001","1,438","1,087",,,,,,,,,,,
November 2007 First Open Bidding Exercise,01/11/2007,2007,Cat C (Goods vehicles and buses),352,"$15,001",532,350,,,,,,,,,,,
November 2007 First Open Bidding Exercise,01/11/2007,2007,Cat D (Motorcycles),448,"$1,301",574,433,,,,,,,,,,,
November 2007 First Open Bidding Exercise,01/11/2007,2007,Cat E (Open),"1,112","$17,809","1,653","1,111",,,,,,,,,,,
November 2007 Second Open Bidding Exercise,15/11/2007,2007,Cat A (Cars up to 1600cc and 97kW),"2,158","$14,404","2,450","2,154",,,,,,,,,,,
November 2007 Second Open Bidding Exercise,15/11/2007,2007,Cat B (Cars above 1600cc or 97kW),"1,126","$16,401","1,339","1,126",,,,,,,,,,,
November 2007 Second Open Bidding Exercise,15/11/2007,2007,Cat C (Goods vehicles and buses),349,"$14,389",488,349,,,,,,,,,,,
November 2007 Second Open Bidding Exercise,15/11/2007,2007,Cat D (Motorcycles),442,"$1,052",613,404,,,,,,,,,,,
November 2007 Second Open Bidding Exercise,15/11/2007,2007,Cat E (Open),"1,147","$17,001","1,683","1,130",,,,,,,,,,,
December 2007 First Open Bidding Exercise,01/12/2007,2007,Cat A (Cars up to 1600cc and 97kW),"2,174","$12,001","2,373","2,171",,,,,,,,,,,
December 2007 First Open Bidding Exercise,01/12/2007,2007,Cat B (Cars above 1600cc or 97kW),"1,163","$13,114","1,334","1,116",,,,,,,,,,,
December 2007 First Open Bidding Exercise,01/12/2007,2007,Cat C (Goods vehicles and buses),347,"$13,000",431,340,,,,,,,,,,,
December 2007 First Open Bidding Exercise,01/12/2007,2007,Cat D (Motorcycles),454,"$1,012",767,418,,,,,,,,,,,
December 2007 First Open Bidding Exercise,01/12/2007,2007,Cat E (Open),"1,088","$15,501","1,699","1,081",,,,,,,,,,,
December 2007 Second Open Bidding Exercise,15/12/2007,2007,Cat A (Cars up to 1600cc and 97kW),"2,162","$14,001","2,588","2,089",,,,,,,,,,,
December 2007 Second Open Bidding Exercise,15/12/2007,2007,Cat B (Cars above 1600cc or 97kW),"1,125","$15,802","1,578","1,106",,,,,,,,,,,
December 2007 Second Open Bidding Exercise,15/12/2007,2007,Cat C (Goods vehicles and buses),344,"$11,851",452,340,,,,,,,,,,,
December 2007 Second Open Bidding Exercise,15/12/2007,2007,Cat D (Motorcycles),477,$889,634,473,,,,,,,,,,,
December 2007 Second Open Bidding Exercise,15/12/2007,2007,Cat E (Open),"1,104","$16,000","1,564","1,022",,,,,,,,,,,
January 2006 First Open Bidding Exercise,01/01/2006,2006,Cat A (Cars up to 1600cc and 97kW),"2,787","$10,602","3,076","2,778",,,,,,,,,,,
January 2006 First Open Bidding Exercise,01/01/2006,2006,Cat B (Cars above 1600cc or 97kW),"1,277","$11,602","1,876","1,277",,,,,,,,,,,
January 2006 First Open Bidding Exercise,01/01/2006,2006,Cat C (Goods vehicles and buses),607,"$5,889",676,602,,,,,,,,,,,
January 2006 First Open Bidding Exercise,01/01/2006,2006,Cat D (Motorcycles),513,$479,575,511,,,,,,,,,,,
January 2006 First Open Bidding Exercise,01/01/2006,2006,Cat E (Open),"1,403","$11,701","1,859","1,401",,,,,,,,,,,
January 2006 Second Open Bidding Exercise,15/01/2006,2006,Cat A (Cars up to 1600cc and 97kW),"2,785","$8,009","3,213","2,783",,,,,,,,,,,
January 2006 Second Open Bidding Exercise,15/01/2006,2006,Cat B (Cars above 1600cc or 97kW),"1,275","$9,603","1,483","1,266",,,,,,,,,,,
January 2006 Second Open Bidding Exercise,15/01/2006,2006,Cat C (Goods vehicles and buses),595,"$6,302",826,594,,,,,,,,,,,
January 2006 Second Open Bidding Exercise,15/01/2006,2006,Cat D (Motorcycles),531,$401,664,530,,,,,,,,,,,
January 2006 Second Open Bidding Exercise,15/01/2006,2006,Cat E (Open),"1,402","$9,801","1,655","1,399",,,,,,,,,,,
February 2006 First Open Bidding Exercise,01/02/2006,2006,Cat A (Cars up to 1600cc and 97kW),"2,794","$10,284","5,517","2,787",,,,,,,,,,,
February 2006 First Open Bidding Exercise,01/02/2006,2006,Cat B (Cars above 1600cc or 97kW),"1,265","$9,501","1,726","1,262",,,,,,,,,,,
February 2006 First Open Bidding Exercise,01/02/2006,2006,Cat C (Goods vehicles and buses),593,"$7,296",841,585,,,,,,,,,,,
February 2006 First Open Bidding Exercise,01/02/2006,2006,Cat D (Motorcycles),508,$452,644,499,,,,,,,,,,,
February 2006 First Open Bidding Exercise,01/02/2006,2006,Cat E (Open),"1,397","$9,275","1,785","1,397",,,,,,,,,,,
February 2006 Second Open Bidding Exercise,15/02/2006,2006,Cat A (Cars up to 1600cc and 97kW),"2,787","$10,103","5,030","2,779",,,,,,,,,,,
February 2006 Second Open Bidding Exercise,15/02/2006,2006,Cat B (Cars above 1600cc or 97kW),"1,274","$10,489","1,866","1,271",,,,,,,,,,,
February 2006 Second Open Bidding Exercise,15/02/2006,2006,Cat C (Goods vehicles and buses),588,"$8,313",759,585,,,,,,,,,,,
February 2006 Second Open Bidding Exercise,15/02/2006,2006,Cat D (Motorcycles),507,$495,599,505,,,,,,,,,,,
February 2006 Second Open Bidding Exercise,15/02/2006,2006,Cat E (Open),"1,397","$10,400","2,080","1,396",,,,,,,,,,,
March 2006 First Open Bidding Exercise,01/03/2006,2006,Cat A (Cars up to 1600cc and 97kW),"2,792","$11,199","5,001","2,786",,,,,,,,,,,
March 2006 First Open Bidding Exercise,01/03/2006,2006,Cat B (Cars above 1600cc or 97kW),"1,268","$12,555","1,926","1,268",,,,,,,,,,,
March 2006 First Open Bidding Exercise,01/03/2006,2006,Cat C (Goods vehicles and buses),596,"$8,430",749,588,,,,,,,,,,,
March 2006 First Open Bidding Exercise,01/03/2006,2006,Cat D (Motorcycles),515,$609,697,489,,,,,,,,,,,
March 2006 First Open Bidding Exercise,01/03/2006,2006,Cat E (Open),"1,395","$12,697","2,102","1,387",,,,,,,,,,,
March 2006 Second Open Bidding Exercise,15/03/2006,2006,Cat A (Cars up to 1600cc and 97kW),"2,792","$11,904","4,381","2,784",,,,,,,,,,,
March 2006 Second Open Bidding Exercise,15/03/2006,2006,Cat B (Cars above 1600cc or 97kW),"1,267","$13,556","1,830","1,265",,,,,,,,,,,
March 2006 Second Open Bidding Exercise,15/03/2006,2006,Cat C (Goods vehicles and buses),590,"$8,600",748,564,,,,,,,,,,,
March 2006 Second Open Bidding Exercise,15/03/2006,2006,Cat D (Motorcycles),508,$789,804,483,,,,,,,,,,,
March 2006 Second Open Bidding Exercise,15/03/2006,2006,Cat E (Open),"1,395","$13,689","2,000","1,394",,,,,,,,,,,
April 2006 First Open Bidding Exercise,01/04/2006,2006,Cat A (Cars up to 1600cc and 97kW),"2,222","$11,901","3,183","2,215",,,,,,,,,,,
April 2006 First Open Bidding Exercise,01/04/2006,2006,Cat B (Cars above 1600cc or 97kW),"1,084","$13,402","1,420","1,079",,,,,,,,,,,
April 2006 First Open Bidding Exercise,01/04/2006,2006,Cat C (Goods vehicles and buses),571,"$10,059",781,566,,,,,,,,,,,
April 2006 First Open Bidding Exercise,01/04/2006,2006,Cat D (Motorcycles),514,$851,662,513,,,,,,,,,,,
April 2006 First Open Bidding Exercise,01/04/2006,2006,Cat E (Open),"1,119","$13,301","1,657","1,112",,,,,,,,,,,
April 2006 Second Open Bidding Exercise,15/04/2006,2006,Cat A (Cars up to 1600cc and 97kW),"2,225","$11,901","2,762","2,220",,,,,,,,,,,
April 2006 Second Open Bidding Exercise,15/04/2006,2006,Cat B (Cars above 1600cc or 97kW),"1,086","$13,101","1,299","1,079",,,,,,,,,,,
April 2006 Second Open Bidding Exercise,15/04/2006,2006,Cat C (Goods vehicles and buses),590,"$11,301",784,581,,,,,,,,,,,
April 2006 Second Open Bidding Exercise,15/04/2006,2006,Cat D (Motorcycles),513,$756,709,510,,,,,,,,,,,
April 2006 Second Open Bidding Exercise,15/04/2006,2006,Cat E (Open),"1,112","$13,000","1,514","1,047",,,,,,,,,,,
May 2006 First Open Bidding Exercise,01/05/2006,2006,Cat A (Cars up to 1600cc and 97kW),"2,223","$10,003","2,426","2,222",,,,,,,,,,,
May 2006 First Open Bidding Exercise,01/05/2006,2006,Cat B (Cars above 1600cc or 97kW),"1,089","$11,519","1,293","1,077",,,,,,,,,,,
May 2006 First Open Bidding Exercise,01/05/2006,2006,Cat C (Goods vehicles and buses),568,"$12,101",727,564,,,,,,,,,,,
May 2006 First Open Bidding Exercise,01/05/2006,2006,Cat D (Motorcycles),489,$802,611,489,,,,,,,,,,,
May 2006 First Open Bidding Exercise,01/05/2006,2006,Cat E (Open),"1,118","$12,402","1,475","1,110",,,,,,,,,,,
May 2006 Second Open Bidding Exercise,15/05/2006,2006,Cat A (Cars up to 1600cc and 97kW),"2,222","$10,100","2,473","2,222",,,,,,,,,,,
May 2006 Second Open Bidding Exercise,15/05/2006,2006,Cat B (Cars above 1600cc or 97kW),"1,091","$11,801","1,337","1,087",,,,,,,,,,,
May 2006 Second Open Bidding Exercise,15/05/2006,2006,Cat C (Goods vehicles and buses),573,"$11,100",710,566,,,,,,,,,,,
May 2006 Second Open Bidding Exercise,15/05/2006,2006,Cat D (Motorcycles),491,$809,563,490,,,,,,,,,,,
May 2006 Second Open Bidding Exercise,15/05/2006,2006,Cat E (Open),"1,176","$11,717","1,570","1,176",,,,,,,,,,,
June 2006 First Open Bidding Exercise,01/06/2006,2006,Cat A (Cars up to 1600cc and 97kW),"2,217","$11,202","2,688","2,217",,,,,,,,,,,
June 2006 First Open Bidding Exercise,01/06/2006,2006,Cat B (Cars above 1600cc or 97kW),"1,096","$12,200","1,426","1,096",,,,,,,,,,,
June 2006 First Open Bidding Exercise,01/06/2006,2006,Cat C (Goods vehicles and buses),567,"$8,657",672,567,,,,,,,,,,,
June 2006 First Open Bidding Exercise,01/06/2006,2006,Cat D (Motorcycles),488,"$1,001",707,399,,,,,,,,,,,
June 2006 First Open Bidding Exercise,01/06/2006,2006,Cat E (Open),"1,119","$12,000","1,933","1,083",,,,,,,,,,,
June 2006 Second Open Bidding Exercise,15/06/2006,2006,Cat A (Cars up to 1600cc and 97kW),"2,217","$9,301","2,393","2,213",,,,,,,,,,,
June 2006 Second Open Bidding Exercise,15/06/2006,2006,Cat B (Cars above 1600cc or 97kW),"1,088","$11,001","1,256","1,084",,,,,,,,,,,
June 2006 Second Open Bidding Exercise,15/06/2006,2006,Cat C (Goods vehicles and buses),571,"$6,308",893,570,,,,,,,,,,,
June 2006 Second Open Bidding Exercise,15/06/2006,2006,Cat D (Motorcycles),489,"$1,061",608,486,,,,,,,,,,,
June 2006 Second Open Bidding Exercise,15/06/2006,2006,Cat E (Open),"1,111","$11,002","1,716","1,095",,,,,,,,,,,
July 2006 First Open Bidding Exercise,01/07/2006,2006,Cat A (Cars up to 1600cc and 97kW),"2,216","$10,201","2,867","2,210",,,,,,,,,,,
July 2006 First Open Bidding Exercise,01/07/2006,2006,Cat B (Cars above 1600cc or 97kW),"1,084","$10,801","1,240","1,084",,,,,,,,,,,
July 2006 First Open Bidding Exercise,01/07/2006,2006,Cat C (Goods vehicles and buses),563,"$5,951",816,555,,,,,,,,,,,
July 2006 First Open Bidding Exercise,01/07/2006,2006,Cat D (Motorcycles),577,$900,804,560,,,,,,,,,,,
July 2006 First Open Bidding Exercise,01/07/2006,2006,Cat E (Open),"1,147","$10,803","1,678","1,142",,,,,,,,,,,
July 2006 Second Open Bidding Exercise,15/07/2006,2006,Cat A (Cars up to 1600cc and 97kW),"2,221","$10,803","2,776","2,213",,,,,,,,,,,
July 2006 Second Open Bidding Exercise,15/07/2006,2006,Cat B (Cars above 1600cc or 97kW),"1,089","$10,600","1,332","1,089",,,,,,,,,,,
July 2006 Second Open Bidding Exercise,15/07/2006,2006,Cat C (Goods vehicles and buses),565,"$5,501",815,503,,,,,,,,,,,
July 2006 Second Open Bidding Exercise,15/07/2006,2006,Cat D (Motorcycles),491,$881,606,489,,,,,,,,,,,
July 2006 Second Open Bidding Exercise,15/07/2006,2006,Cat E (Open),"1,127","$11,101","1,718","1,126",,,,,,,,,,,
August 2006 First Open Bidding Exercise,01/08/2006,2006,Cat A (Cars up to 1600cc and 97kW),"2,222","$11,901","3,333","2,215",,,,,,,,,,,
August 2006 First Open Bidding Exercise,01/08/2006,2006,Cat B (Cars above 1600cc or 97kW),"1,084","$12,501","1,365","1,064",,,,,,,,,,,
August 2006 First Open Bidding Exercise,01/08/2006,2006,Cat C (Goods vehicles and buses),571,"$9,001",775,568,,,,,,,,,,,
August 2006 First Open Bidding Exercise,01/08/2006,2006,Cat D (Motorcycles),505,"$1,057",683,501,,,,,,,,,,,
August 2006 First Open Bidding Exercise,01/08/2006,2006,Cat E (Open),"1,116","$12,699","1,669","1,114",,,,,,,,,,,
August 2006 Second Open Bidding Exercise,15/08/2006,2006,Cat A (Cars up to 1600cc and 97kW),"2,225","$12,989","3,398","2,219",,,,,,,,,,,
August 2006 Second Open Bidding Exercise,15/08/2006,2006,Cat B (Cars above 1600cc or 97kW),"1,085","$13,890","1,406","1,084",,,,,,,,,,,
August 2006 Second Open Bidding Exercise,15/08/2006,2006,Cat C (Goods vehicles and buses),626,"$10,806","1,165",617,,,,,,,,,,,
August 2006 Second Open Bidding Exercise,15/08/2006,2006,Cat D (Motorcycles),490,$902,552,481,,,,,,,,,,,
August 2006 Second Open Bidding Exercise,15/08/2006,2006,Cat E (Open),"1,112","$13,605","1,889","1,108",,,,,,,,,,,
September 2006 First Open Bidding Exercise,01/09/2006,2006,Cat A (Cars up to 1600cc and 97kW),"2,223","$13,003","2,878","2,222",,,,,,,,,,,
September 2006 First Open Bidding Exercise,01/09/2006,2006,Cat B (Cars above 1600cc or 97kW),"1,104","$14,701","1,448","1,101",,,,,,,,,,,
September 2006 First Open Bidding Exercise,01/09/2006,2006,Cat C (Goods vehicles and buses),566,"$15,201",844,555,,,,,,,,,,,
September 2006 First Open Bidding Exercise,01/09/2006,2006,Cat D (Motorcycles),492,$902,656,474,,,,,,,,,,,
September 2006 First Open Bidding Exercise,01/09/2006,2006,Cat E (Open),"1,113","$15,200","1,911","1,025",,,,,,,,,,,
September 2006 Second Open Bidding Exercise,15/09/2006,2006,Cat A (Cars up to 1600cc and 97kW),"2,223","$13,102","2,921","2,223",,,,,,,,,,,
September 2006 Second Open Bidding Exercise,15/09/2006,2006,Cat B (Cars above 1600cc or 97kW),"1,086","$14,399","1,440","1,086",,,,,,,,,,,
September 2006 Second Open Bidding Exercise,15/09/2006,2006,Cat C (Goods vehicles and buses),573,"$14,200","1,027",417,,,,,,,,,,,
September 2006 Second Open Bidding Exercise,15/09/2006,2006,Cat D (Motorcycles),497,$857,620,496,,,,,,,,,,,
September 2006 Second Open Bidding Exercise,15/09/2006,2006,Cat E (Open),"1,115","$14,900","1,871","1,102",,,,,,,,,,,
October 2006 First Open Bidding Exercise,01/10/2006,2006,Cat A (Cars up to 1600cc and 97kW),"2,670","$12,001","2,953","2,644",,,,,,,,,,,
October 2006 First Open Bidding Exercise,01/10/2006,2006,Cat B (Cars above 1600cc or 97kW),"1,272","$12,501","1,496","1,253",,,,,,,,,,,
October 2006 First Open Bidding Exercise,01/10/2006,2006,Cat C (Goods vehicles and buses),519,"$11,203",900,509,,,,,,,,,,,
October 2006 First Open Bidding Exercise,01/10/2006,2006,Cat D (Motorcycles),465,"$1,001",761,460,,,,,,,,,,,
October 2006 First Open Bidding Exercise,01/10/2006,2006,Cat E (Open),"1,370","$13,000","2,056","1,292",,,,,,,,,,,
October 2006 Second Open Bidding Exercise,15/10/2006,2006,Cat A (Cars up to 1600cc and 97kW),"2,669","$10,510","2,761","2,669",,,,,,,,,,,
October 2006 Second Open Bidding Exercise,15/10/2006,2006,Cat B (Cars above 1600cc or 97kW),"1,269","$12,989","1,530","1,269",,,,,,,,,,,
October 2006 Second Open Bidding Exercise,15/10/2006,2006,Cat C (Goods vehicles and buses),663,"$2,001",749,630,,,,,,,,,,,
October 2006 Second Open Bidding Exercise,15/10/2006,2006,Cat D (Motorcycles),448,"$1,102",633,412,,,,,,,,,,,
October 2006 Second Open Bidding Exercise,15/10/2006,2006,Cat E (Open),"1,295","$12,605","1,976","1,290",,,,,,,,,,,
November 2006 First Open Bidding Exercise,01/11/2006,2006,Cat A (Cars up to 1600cc and 97kW),"2,695","$12,979","4,013","2,693",,,,,,,,,,,
November 2006 First Open Bidding Exercise,01/11/2006,2006,Cat B (Cars above 1600cc or 97kW),"1,288","$13,811","1,683","1,288",,,,,,,,,,,
November 2006 First Open Bidding Exercise,01/11/2006,2006,Cat C (Goods vehicles and buses),518,"$3,669",682,515,,,,,,,,,,,
November 2006 First Open Bidding Exercise,01/11/2006,2006,Cat D (Motorcycles),452,"$1,201",641,411,,,,,,,,,,,
November 2006 First Open Bidding Exercise,01/11/2006,2006,Cat E (Open),"1,360","$14,156","2,122","1,359",,,,,,,,,,,
November 2006 Second Open Bidding Exercise,15/11/2006,2006,Cat A (Cars up to 1600cc and 97kW),"2,669","$12,689","3,499","2,668",,,,,,,,,,,
November 2006 Second Open Bidding Exercise,15/11/2006,2006,Cat B (Cars above 1600cc or 97kW),"1,269","$14,509","1,696","1,266",,,,,,,,,,,
November 2006 Second Open Bidding Exercise,15/11/2006,2006,Cat C (Goods vehicles and buses),540,"$1,003",577,539,,,,,,,,,,,
November 2006 Second Open Bidding Exercise,15/11/2006,2006,Cat D (Motorcycles),483,$702,512,476,,,,,,,,,,,
November 2006 Second Open Bidding Exercise,15/11/2006,2006,Cat E (Open),"1,287","$14,501","1,981","1,279",,,,,,,,,,,
December 2006 First Open Bidding Exercise,01/12/2006,2006,Cat A (Cars up to 1600cc and 97kW),"2,670","$12,200","3,018","2,670",,,,,,,,,,,
December 2006 First Open Bidding Exercise,01/12/2006,2006,Cat B (Cars above 1600cc or 97kW),"1,269","$14,389","1,521","1,267",,,,,,,,,,,
December 2006 First Open Bidding Exercise,01/12/2006,2006,Cat C (Goods vehicles and buses),511,$509,550,510,,,,,,,,,,,
December 2006 First Open Bidding Exercise,01/12/2006,2006,Cat D (Motorcycles),488,"$1,251",759,476,,,,,,,,,,,
December 2006 First Open Bidding Exercise,01/12/2006,2006,Cat E (Open),"1,283","$14,669","1,991","1,261",,,,,,,,,,,
December 2006 Second Open Bidding Exercise,15/12/2006,2006,Cat A (Cars up to 1600cc and 97kW),"2,670","$9,605","2,886","2,668",,,,,,,,,,,
December 2006 Second Open Bidding Exercise,15/12/2006,2006,Cat B (Cars above 1600cc or 97kW),"1,272","$12,889","1,413","1,240",,,,,,,,,,,
December 2006 Second Open Bidding Exercise,15/12/2006,2006,Cat C (Goods vehicles and buses),508,$1,490,490,,,,,,,,,,,
December 2006 Second Open Bidding Exercise,15/12/2006,2006,Cat D (Motorcycles),454,"$1,210",684,448,,,,,,,,,,,
December 2006 Second Open Bidding Exercise,15/12/2006,2006,Cat E (Open),"1,290","$13,499","1,708","1,203",,,,,,,,,,,
January 2005 First Open Bidding Exercise,01/01/2005,2005,Cat A (Cars up to 1600cc and 97kW),"2,513","$18,400","2,677","2,512",,,,,,,,,,,
January 2005 First Open Bidding Exercise,01/01/2005,2005,Cat B (Cars above 1600cc or 97kW),"1,139","$14,002","1,311","1,139",,,,,,,,,,,
January 2005 First Open Bidding Exercise,01/01/2005,2005,Cat C (Goods vehicles and buses),672,"$3,710",790,671,,,,,,,,,,,
January 2005 First Open Bidding Exercise,01/01/2005,2005,Cat D (Motorcycles),499,$552,598,426,,,,,,,,,,,
January 2005 First Open Bidding Exercise,01/01/2005,2005,Cat E (Open),"1,336","$19,295","1,725","1,335",,,,,,,,,,,
January 2005 Second Open Bidding Exercise,15/01/2005,2005,Cat A (Cars up to 1600cc and 97kW),"2,513","$19,501","3,793","2,508",,,,,,,,,,,
January 2005 Second Open Bidding Exercise,15/01/2005,2005,Cat B (Cars above 1600cc or 97kW),"1,148","$19,502","1,834","1,145",,,,,,,,,,,
January 2005 Second Open Bidding Exercise,15/01/2005,2005,Cat C (Goods vehicles and buses),681,"$4,189",830,681,,,,,,,,,,,
January 2005 Second Open Bidding Exercise,15/01/2005,2005,Cat D (Motorcycles),527,$511,765,523,,,,,,,,,,,
January 2005 Second Open Bidding Exercise,15/01/2005,2005,Cat E (Open),"1,338","$19,002","1,890","1,301",,,,,,,,,,,
February 2005 First Open Bidding Exercise,01/02/2005,2005,Cat A (Cars up to 1600cc and 97kW),"2,514","$18,200","3,394","2,511",,,,,,,,,,,
February 2005 First Open Bidding Exercise,01/02/2005,2005,Cat B (Cars above 1600cc or 97kW),"1,137","$16,533","1,450","1,137",,,,,,,,,,,
February 2005 First Open Bidding Exercise,01/02/2005,2005,Cat C (Goods vehicles and buses),673,"$4,301",850,672,,,,,,,,,,,
February 2005 First Open Bidding Exercise,01/02/2005,2005,Cat D (Motorcycles),572,$224,605,554,,,,,,,,,,,
February 2005 First Open Bidding Exercise,01/02/2005,2005,Cat E (Open),"1,337","$17,300","1,809","1,335",,,,,,,,,,,
February 2005 Second Open Bidding Exercise,15/02/2005,2005,Cat A (Cars up to 1600cc and 97kW),"2,518","$18,159","3,140","2,511",,,,,,,,,,,
February 2005 Second Open Bidding Exercise,15/02/2005,2005,Cat B (Cars above 1600cc or 97kW),"1,140","$16,891","1,443","1,137",,,,,,,,,,,
February 2005 Second Open Bidding Exercise,15/02/2005,2005,Cat C (Goods vehicles and buses),672,"$4,499",794,667,,,,,,,,,,,
February 2005 Second Open Bidding Exercise,15/02/2005,2005,Cat D (Motorcycles),503,$512,830,444,,,,,,,,,,,
February 2005 Second Open Bidding Exercise,15/02/2005,2005,Cat E (Open),"1,372","$17,999","2,168","1,348",,,,,,,,,,,
March 2005 First Open Bidding Exercise,01/03/2005,2005,Cat A (Cars up to 1600cc and 97kW),"2,516","$20,654","3,784","2,509",,,,,,,,,,,
March 2005 First Open Bidding Exercise,01/03/2005,2005,Cat B (Cars above 1600cc or 97kW),"1,137","$21,710","1,656","1,134",,,,,,,,,,,
March 2005 First Open Bidding Exercise,01/03/2005,2005,Cat C (Goods vehicles and buses),673,"$6,590",849,672,,,,,,,,,,,
March 2005 First Open Bidding Exercise,01/03/2005,2005,Cat D (Motorcycles),517,$851,897,505,,,,,,,,,,,
March 2005 First Open Bidding Exercise,01/03/2005,2005,Cat E (Open),"1,338","$21,999","1,961","1,336",,,,,,,,,,,
March 2005 Second Open Bidding Exercise,15/03/2005,2005,Cat A (Cars up to 1600cc and 97kW),"2,520","$18,901","3,176","2,449",,,,,,,,,,,
March 2005 Second Open Bidding Exercise,15/03/2005,2005,Cat B (Cars above 1600cc or 97kW),"1,140","$18,001","1,355","1,133",,,,,,,,,,,
March 2005 Second Open Bidding Exercise,15/03/2005,2005,Cat C (Goods vehicles and buses),677,"$7,100",823,669,,,,,,,,,,,
March 2005 Second Open Bidding Exercise,15/03/2005,2005,Cat D (Motorcycles),558,$781,"1,131",456,,,,,,,,,,,
March 2005 Second Open Bidding Exercise,15/03/2005,2005,Cat E (Open),"1,359","$19,001","1,799","1,337",,,,,,,,,,,
April 2005 First Open Bidding Exercise,01/04/2005,2005,Cat A (Cars up to 1600cc and 97kW),"2,200","$18,279","2,685","2,200",,,,,,,,,,,
April 2005 First Open Bidding Exercise,01/04/2005,2005,Cat B (Cars above 1600cc or 97kW),"1,103","$16,110","1,367","1,103",,,,,,,,,,,
April 2005 First Open Bidding Exercise,01/04/2005,2005,Cat C (Goods vehicles and buses),589,"$7,100",733,582,,,,,,,,,,,
April 2005 First Open Bidding Exercise,01/04/2005,2005,Cat D (Motorcycles),519,$603,720,515,,,,,,,,,,,
April 2005 First Open Bidding Exercise,01/04/2005,2005,Cat E (Open),"1,140","$18,802","1,792","1,140",,,,,,,,,,,
April 2005 Second Open Bidding Exercise,15/04/2005,2005,Cat A (Cars up to 1600cc and 97kW),"2,264","$18,101","2,563","2,203",,,,,,,,,,,
April 2005 Second Open Bidding Exercise,15/04/2005,2005,Cat B (Cars above 1600cc or 97kW),"1,107","$17,701","1,357","1,107",,,,,,,,,,,
April 2005 Second Open Bidding Exercise,15/04/2005,2005,Cat C (Goods vehicles and buses),596,"$6,841",712,596,,,,,,,,,,,
April 2005 Second Open Bidding Exercise,15/04/2005,2005,Cat D (Motorcycles),608,$591,898,608,,,,,,,,,,,
April 2005 Second Open Bidding Exercise,15/04/2005,2005,Cat E (Open),"1,160","$18,000","1,694","1,147",,,,,,,,,,,
May 2005 First Open Bidding Exercise,01/05/2005,2005,Cat A (Cars up to 1600cc and 97kW),"2,193","$17,398","2,594","2,185",,,,,,,,,,,
May 2005 First Open Bidding Exercise,01/05/2005,2005,Cat B (Cars above 1600cc or 97kW),"1,100","$16,508","1,339","1,087",,,,,,,,,,,
May 2005 First Open Bidding Exercise,01/05/2005,2005,Cat C (Goods vehicles and buses),595,"$5,800",686,594,,,,,,,,,,,
May 2005 First Open Bidding Exercise,01/05/2005,2005,Cat D (Motorcycles),511,$702,736,408,,,,,,,,,,,
May 2005 First Open Bidding Exercise,01/05/2005,2005,Cat E (Open),"1,138","$17,699","1,719","1,125",,,,,,,,,,,
May 2005 Second Open Bidding Exercise,15/05/2005,2005,Cat A (Cars up to 1600cc and 97kW),"2,254","$16,897","2,548","2,251",,,,,,,,,,,
