Bidding Exercise,Announcement Date,Year,Category,Quota,Quota Premium,Total Bids Received,Number of Successful Bids,,,,,,,,,,,
January 2020 Second Open Bidding Exercise,22/01/2020,2020,Cat A (Cars up to 1600cc and 97kW),"1,034","$35,010","1,390","1,025",,,,,,,,,,,
January 2020 Second Open Bidding Exercise,22/01/2020,2020,Cat B (Cars above 1600cc or 97kW),"1,012","$37,705","1,157","1,008",,,,,,,,,,,
January 2020 Second Open Bidding Exercise,22/01/2020,2020,Cat C (Goods vehicles and buses),329,"$25,001",504,292,,,,,,,,,,,
January 2020 Second Open Bidding Exercise,22/01/2020,2020,Cat D (Motorcycles),693,"$4,610",936,693,,,,,,,,,,,
January 2020 Second Open Bidding Exercise,22/01/2020,2020,Cat E (Open),388,"$37,500",528,388,,,,,,,,,,,
January 2020 First Open Bidding Exercise,08/01/2020,2020,Cat A (Cars up to 1600cc and 97kW),"1,035","$35,320","1,450","1,026",,,,,,,,,,,
January 2020 First Open Bidding Exercise,08/01/2020,2020,Cat B (Cars above 1600cc or 97kW),"1,022","$37,109","1,229","1,021",,,,,,,,,,,
January 2020 First Open Bidding Exercise,08/01/2020,2020,Cat C (Goods vehicles and buses),321,"$24,402",457,321,,,,,,,,,,,
January 2020 First Open Bidding Exercise,08/01/2020,2020,Cat D (Motorcycles),707,"$3,989","1,084",706,,,,,,,,,,,
January 2020 First Open Bidding Exercise,08/01/2020,2020,Cat E (Open),384,"$38,000",541,377,,,,,,,,,,,
December 2019 Second Open Bidding Exercise,18/12/2019,2019,Cat A (Cars up to 1600cc and 97kW),"1,029","$32,889","1,256","1,013",,,,,,,,,,,
December 2019 Second Open Bidding Exercise,18/12/2019,2019,Cat B (Cars above 1600cc or 97kW),"1,015","$36,000","1,251","1,015",,,,,,,,,,,
December 2019 Second Open Bidding Exercise,18/12/2019,2019,Cat C (Goods vehicles and buses),318,"$23,200",441,307,,,,,,,,,,,
December 2019 Second Open Bidding Exercise,18/12/2019,2019,Cat D (Motorcycles),697,"$3,658",850,696,,,,,,,,,,,
December 2019 Second Open Bidding Exercise,18/12/2019,2019,Cat E (Open),384,"$37,989",496,373,,,,,,,,,,,
December 2019 First Open Bidding Exercise,04/12/2019,2019,Cat A (Cars up to 1600cc and 97kW),"1,030","$33,009","1,386","1,013",,,,,,,,,,,
December 2019 First Open Bidding Exercise,04/12/2019,2019,Cat B (Cars above 1600cc or 97kW),"1,013","$37,900","1,265","1,003",,,,,,,,,,,
December 2019 First Open Bidding Exercise,04/12/2019,2019,Cat C (Goods vehicles and buses),318,"$23,704",402,315,,,,,,,,,,,
December 2019 First Open Bidding Exercise,04/12/2019,2019,Cat D (Motorcycles),693,"$3,789",908,678,,,,,,,,,,,
December 2019 First Open Bidding Exercise,04/12/2019,2019,Cat E (Open),384,"$38,889",518,377,,,,,,,,,,,
November 2019 Second Open Bidding Exercise,20/11/2019,2019,Cat A (Cars up to 1600cc and 97kW),"1,023","$32,000","1,468","1,012",,,,,,,,,,,
November 2019 Second Open Bidding Exercise,20/11/2019,2019,Cat B (Cars above 1600cc or 97kW),"1,019","$39,700","1,331","1,016",,,,,,,,,,,
November 2019 Second Open Bidding Exercise,20/11/2019,2019,Cat C (Goods vehicles and buses),322,"$24,502",495,322,,,,,,,,,,,
November 2019 Second Open Bidding Exercise,20/11/2019,2019,Cat D (Motorcycles),698,"$3,921",974,692,,,,,,,,,,,
November 2019 Second Open Bidding Exercise,20/11/2019,2019,Cat E (Open),390,"$40,889",540,383,,,,,,,,,,,
November 2019 First Open Bidding Exercise,06/11/2019,2019,Cat A (Cars up to 1600cc and 97kW),"1,043","$30,000","1,302","1,031",,,,,,,,,,,
November 2019 First Open Bidding Exercise,06/11/2019,2019,Cat B (Cars above 1600cc or 97kW),"1,017","$40,009","1,296","1,016",,,,,,,,,,,
November 2019 First Open Bidding Exercise,06/11/2019,2019,Cat C (Goods vehicles and buses),318,"$25,392",440,318,,,,,,,,,,,
November 2019 First Open Bidding Exercise,06/11/2019,2019,Cat D (Motorcycles),693,"$4,100",831,691,,,,,,,,,,,
November 2019 First Open Bidding Exercise,06/11/2019,2019,Cat E (Open),383,"$40,101",587,376,,,,,,,,,,,
October 2019 Second Open Bidding Exercise,23/10/2019,2019,Cat A (Cars up to 1600cc and 97kW),"1,060","$32,309","1,467","1,056",,,,,,,,,,,
October 2019 Second Open Bidding Exercise,23/10/2019,2019,Cat B (Cars above 1600cc or 97kW),"1,044","$41,805","1,503","1,037",,,,,,,,,,,
October 2019 Second Open Bidding Exercise,23/10/2019,2019,Cat C (Goods vehicles and buses),284,"$26,001",439,279,,,,,,,,,,,
October 2019 Second Open Bidding Exercise,23/10/2019,2019,Cat D (Motorcycles),753,"$3,889",989,746,,,,,,,,,,,
